Columns: lon lat depth mrr mtt mpp mrt mrp mtp iexp name lon lat str1 dip1 rake1 str2 dip2 rake2 sc iexp name

95.45 5.86 10 -1.26 -8.30 9.56 -3.32 -5.38 3.96 23 X Y 070585D 5.86 145 61 176 237 86 29 11.370 23 070585D
94.01 8.81 15 0.66 -4.93 4.27 0.79 -0.17 8.96 24 X Y 012886B 8.81 346 86 -178 256 88 -4 10.100 24 012886B
94.94 4.26 46 0.51 -1.00 0.49 -0.44 0.39 0.20 24 X Y 042986C 4.26 61 43 29 308 71 129 1.040 24 042986C
93.50 9.44 79 3.57 -7.09 3.51 -2.62 -3.70 -1.77 24 X Y 060286D 9.44 118 45 154 227 72 48 7.780 24 060286D
97.48 1.86 45 6.75 -1.41 -5.34 3.40 -1.21 4.58 23 X Y 061486B 1.86 345 38 120 129 58 69 8.450 23 061486B
94.40 7.90 181 -5.56 5.87 -0.31 -4.38 5.00 -1.67 24 X Y 061986D 7.90 263 27 -132 128 70 -71 8.910 24 061986D
96.09 4.74 22 0.09 -1.14 1.05 0.03 -0.66 -0.55 24 X Y 090886A 4.74 118 68 166 214 77 22 1.380 24 090886A
94.87 6.86 206 -0.37 1.14 -0.76 -0.21 -1.30 6.42 24 X Y 120786A 6.86 274 79 0 4 90 -169 6.620 24 120786A
94.51 4.01 45 -2.20 0.68 1.52 2.90 -0.08 -3.63 24 X Y 061087C 4.01 176 46 -25 284 72 -133 5.010 24 061087C
95.24 4.31 52 -1.26 -2.20 3.46 2.23 -1.29 -6.44 23 X Y 101487F 4.31 192 71 0 102 90 161 7.440 23 101487F
94.38 4.72 36 4.87 -5.58 0.71 -3.68 -0.19 3.83 24 X Y 040388A 4.72 141 36 130 275 63 65 7.320 24 040388A
97.16 1.87 15 0.14 -0.04 -0.11 1.46 -0.82 0.11 24 X Y 122088A 1.87 349 4 139 119 88 87 1.690 24 122088A
95.21 4.65 111 -3.53 6.72 -3.19 4.98 -3.84 -0.34 23 X Y 122788A 4.65 56 34 -152 303 75 -59 8.540 23 122788A
